ARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4
DEMMON,175.0590866,170.5359511,168.1067068,167.2330852,165.9060458,166.9003303,169.1282799,168.3205038,170.9020476,168.7316757,167.4276177,164.0358954,164.724945,170.3036092,172.6407924,177.6787124,183.2221089,185.780096,190.7871587,191.366471,195.0854607,194.4256545,195.903504,198.3996849,201.2739984,206.3345011,209.2214906,209.6670689,213.0448674,217.4166583,224.2442267,229.2420873,227.0738146,235.2011362,241.3297067,248.9454424,253.9218327,257.6124944,261.0660987,266.2838367,271.8587854,275.8061411,280.88642,286.9519602,289.9341016,294.6025356,297.1875851,300.9970801,309.7007658,309.5199967,308.4708777,308.3451227,298.1027915,298.0501471,301.6266026,306.7835193,313.351317,321.2018378,327.2251491,339.9420438,343.1816535,352.8480733,354.5280983,361.9944054,366.3496035,369.0211239,374.3623472,383.6849075,394.0316173,406.3540243,415.7687552,424.7908218,435.54631,441.0112642,441.6937327,445.6376412,452.98154,460.3359318,475.0173252,486.1975359,504.6029424,519.0742532,534.7471434,545.3659674,539.726064,533.0972651,527.3316869,522.380915,527.2964333,541.30441,546.7189941,556.0081568,562.9162875,564.2291077,569.4509747,591.6715605,604.0316295,622.0118054,633.7497077,645.8312201,646.8703307,670.9518706,681.5493587,700.1950392,724.9187048,741.4175998,738.3200013,758.824268,778.952228,784.5567065,800.0990168,807.2848134,819.669958,819.7483817,810.8134419,759.5512587,692.4265552,681.7213399,710.5286875,728.1311523,754.7203724,789.4337037,803.2978523,821.3561626,835.0181994,840.2151101,845.4262631,839.0123175,840.9802783,840.1446264,841.1077678,836.9725427,839.1845776,851.2908154,863.7253615,870.3491385,879.168066,890.2001441,897.682177,905.4543237,914.7134738,916.2718347,922.2882279,931.2671386,932.4524894,947.9716621,953.9150266,963.7564412
PETFX2,60.77874702,62.32579532,63.21676769,66.85979494,71.29403628,76.49374129,79.41019528,81.42799792,84.4125333,86.32166381,92.25252631,93.11631795,91.57330311,98.19166303,102.3658066,105.1725349,107.0823084,107.8713786,111.0799428,113.7391735,116.7033767,114.6365573,109.9495858,104.8807066,98.03011656,98.70008116,96.1780124,94.8533742,93.72330463,94.91167837,95.97453515,95.10089541,95.36882038,98.34103642,103.1470107,103.2865928,106.8368328,108.806852,107.999025,105.3782902,101.5977187,100.6644951,99.89191152,99.50980398,100.6706529,105.4012905,105.6934251,103.1925789,102.0463364,100.9117326,97.54542687,97.39577849,98.47106096,98.72928778,103.0550054,103.1551108,102.6456871,101.5047335,100.1774253,101.1742013,100.7013883,99.94807859,99.92762994,99.41752835,99.72397653,100.3880054,99.71656816,100.5986999,103.949771,105.2150147,108.2443734,105.118391,105.2416613,103.2174837,100.9135142,98.07676273,100.412855,103.8502141,105.4792675,107.8581915,111.1900414,114.8084832,117.6243137,120.5921995,115.9265757,117.743561,115.4813311,113.7506477,114.8497049,113.4623061,110.3882054,109.8590139,107.2410951,104.2633945,105.0459714,103.7743555,102.658364,105.3787591,105.770247,104.8601992,105.1270407,107.6542751,109.9495052,111.855815,112.3756103,111.2627028,111.531399,111.2135472,110.4225484,110.4519814,110.5694627,110.0275623,110.7011448,111.2650492,114.3080542,113.1796774,108.4355391,106.8781588,106.5200264,106.673958,111.369985,117.5217247,118.4304589,117.8982714,120.5209745,119.832644,121.4146366,122.7962015,125.6477766,126.4155387,128.5595333,126.6020387,124.7689053,123.5060457,122.6397326,120.903981,120.1901376,120.2594197,121.6940783,121.9726269,124.974882,126.3894387,123.6939938,122.4950532,119.8815804,120.3186615,121.2277106,123.403234
PETFM2,58.54066875,60.25143245,61.33842161,64.13865574,66.98619117,71.18786514,73.04634853,75.57237263,78.36355199,80.26837955,86.28467903,86.78682,85.42755342,91.38372395,94.40136796,96.71201557,98.66357099,99.52799647,101.7133135,103.4658018,106.0292754,105.3348689,102.3338456,98.73774563,93.98754249,94.86838478,93.40717421,92.65966893,91.74592931,93.00121724,93.80196385,94.12959313,94.19954784,96.48739964,99.59037836,100.415322,103.7375105,105.0686161,104.6057713,102.8859096,100.3589746,100.3113767,100.1845072,100.4062659,101.5724462,104.5288326,104.6407349,103.2073489,102.3509389,101.3490837,99.61881397,97.52081957,97.71930364,98.00259878,101.2805335,101.13803,100.7544005,100.1281922,99.29602077,100.0638597,100.5821403,99.77308498,99.57603586,100.0432186,100.0100988,100.1019952,99.7764773,100.7561218,103.0627045,103.9266254,106.0059449,103.9894398,104.0871269,102.8464073,101.319825,99.35856866,100.5696223,102.6861474,103.9093412,105.6512613,108.0596473,110.7762767,112.863152,115.461066,112.7667702,113.7324256,112.1957563,111.1131758,112.1110496,111.2798826,109.3906342,109.1392515,107.6335472,105.2800895,105.6986477,105.0825062,104.424003,106.6249847,107.0383826,106.8151306,107.1865616,108.8803413,110.373757,112.0000242,112.6849416,112.2440282,112.6498634,112.572268,112.1604152,112.3854927,112.8680695,112.8266033,113.4254781,113.9748622,116.2478496,114.7671679,110.6321668,109.5467815,109.5364855,109.7124806,112.8822743,117.3093317,118.6778951,118.6392829,120.8583948,120.8027158,122.0307967,123.1090016,125.3572769,126.1680295,127.7427834,126.6850968,125.4300913,124.2591843,123.8418541,122.8299575,122.2873356,122.35034,123.221622,123.2666013,125.48779,126.6474326,124.7839396,123.7405617,121.4205599,121.677679,122.0535114,123.5269368
CSUFX2,48.98603755,50.7162625,52.05052874,55.34460259,58.33978799,62.00946139,64.17832988,66.80887337,68.85224453,70.18812997,75.30397803,76.33952106,74.86191837,79.94573724,82.74307514,84.88248839,85.5900867,85.20584055,87.56490326,90.19927769,91.46680693,89.61965879,87.99560015,85.85138901,83.09972126,85.76481279,85.17127213,84.44383514,83.7112449,84.41965327,86.0736778,86.10396591,86.54582952,89.36053139,93.14240302,94.40130321,96.42228363,97.86058209,98.33724735,97.31260894,94.59279177,94.89495161,95.21821486,95.99415538,98.65955525,104.6549977,106.2127789,104.6530639,104.6703604,104.2947727,101.9540758,101.7915821,102.530074,103.21437,107.2324266,107.12639,106.3610729,104.5676632,102.4394306,102.7930816,100.4205618,100.2334078,99.76382797,99.61879651,99.94864892,101.310533,101.5780582,102.6946147,106.1880488,107.7245081,110.9380502,107.3732335,107.100716,107.1970858,106.1808031,105.112998,108.2581421,112.1048699,113.2725699,114.8153768,118.188488,121.0204431,123.6017643,125.7090714,121.829927,123.9797793,123.8190373,123.8360902,125.4600729,124.028625,121.6325287,121.191082,118.7549129,117.0156442,118.0940646,116.3563094,114.828485,116.6687085,116.6535402,115.6288477,116.0393255,118.0551979,119.5285934,120.582432,120.7533989,119.6048188,119.4731426,119.6345797,119.4448346,119.3031575,119.6701732,118.710615,118.6445909,116.9746157,118.8285619,123.0813082,123.5105953,123.0909012,122.1667175,121.5838796,124.8464269,129.3728555,129.9689881,128.6271758,130.1151603,128.5747482,130.0386389,131.7211311,135.0013374,136.6762791,139.8012186,138.3830962,135.6069929,135.4859178,133.7790364,132.6027515,132.010338,133.1821618,135.1963736,136.1636192,140.7142067,142.6953484,140.654571,141.963623,140.8580091,141.5503387,142.3422749,142.3576926
PART_EMERGENTS_CPB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.61542091,93.48912573,93.18990176,92.49862156,94.01935963,94.48612659,94.69870184,96.67064675,98.4020048,97.95318901,99.28327307,98.76566402,100.8208803,101.6028568,101.2425852,100.6818334,101.3174299,102.3593647,102.8924578,102.1484619,102.9264739,102.7888695,102.8760894,102.4660408,102.7867877,102.1095531,101.9697928,101.7307286,102.8724024,101.9874768,101.5767785,101.9964676,104.7428697,105.9842561,104.548779,106.1112839,106.9820711,106.9121306,107.4708994,106.6496757,107.3274209,106.6111619,107.0637656,108.1977465,109.405632,109.7475668,112.403093,113.6212804,116.7734118,117.7932481,117.402308,118.9624412,120.3603269,120.0670384,122.7242443,124.1527177,125.6790999,125.2251889,125.8767175,126.5265708,126.4652198,125.4366961,128.5857938,127.6784297,129.1218931,129.1590768,128.9022755,130.7084426,129.3519811,130.4929462,130.7334254,130.1351787,134.0468418,135.5222305,135.8996119,138.0088029,138.8117058,138.9350848,138.4812916,138.3079712,138.754606,140.1786614,139.2935617,137.6228814,138.7211158,139.2674752,139.0520991,141.2992388,142.285218,139.6374884,140.5162035,141.4228873,141.5884597,142.1136845,142.5042003,141.5238907,144.0201203,141.2126109,142.4707528,142.8884071,143.7726587,143.388783,142.8958148,143.6368402
OUV_OCDE,0.113290458,0.113290458,0.113290458,0.112328891,0.111735304,0.111993111,0.112464759,0.112494528,0.11224136,0.111333014,0.110180377,0.109297859,0.109072822,0.10944595,0.110820585,0.112462732,0.114116575,0.11550392,0.116526933,0.116966901,0.116964347,0.116800365,0.117030575,0.117612488,0.118599479,0.119816814,0.121016415,0.122136432,0.123185759,0.12441185,0.125497377,0.126849558,0.128407587,0.129856513,0.131229765,0.133080899,0.134645795,0.136064725,0.137512135,0.138754062,0.139838102,0.141081003,0.141882723,0.142466857,0.143281889,0.144171311,0.145251788,0.146486548,0.147420543,0.14817367,0.148366821,0.148289123,0.148415761,0.149085127,0.14995745,0.151825322,0.153913436,0.156631408,0.159150222,0.161899197,0.164024073,0.16629941,0.168178231,0.169909323,0.171548601,0.173689812,0.176050233,0.178648101,0.182008877,0.185217724,0.188470154,0.191314466,0.193327577,0.194923669,0.196542964,0.19835116,0.200492041,0.203378957,0.207023635,0.210970428,0.215182859,0.219337499,0.222040838,0.222806974,0.22240028,0.220481158,0.218483888,0.218042063,0.218616986,0.220133158,0.222509885,0.223949015,0.224849864,0.226454321,0.228097617,0.230629566,0.23399734,0.237900498,0.240606823,0.243650264,0.245703768,0.248315726,0.251146239,0.254790009,0.257480695,0.260326134,0.262976455,0.264907411,0.266763353,0.268745371,0.27092233,0.272051411,0.272701372,0.270933567,0.265532359,0.258362323,0.25358512,0.250132524,0.249480388,0.253941758,0.260417449,0.265638934,0.270608215,0.274670013,0.276929116,0.278081876,0.278832305,0.278846345,0.278803492,0.278266761,0.278175324,0.278615761,0.279007906,0.279472137,0.280898065,0.282609501,0.283661583,0.2853354,0.287381047,0.288811494,0.290182846,0.291965129,0.292918628,0.29372939,0.294948967,0.296214864,0.297448377,0.299056668
BARIL_EU,24.4834164927,24.1896475678,21.354362422,27.61638804,28.9673587124,29.8955472252,31.4056391305,31.7857268259,30.3428494336,32.4543078885,35.3460451216,35.578333131,31.0791234848,33.939961871,37.3758483252,36.2370893382,37.6111255311,37.4519987305,38.3839965244,39.3944869032,42.0599826779,38.720877984,36.0208671664,34.0260930652,19.5586255642,14.0547202671,12.91562085,14.9286878342,16.7217464441,17.1771178711,17.8644295186,15.8784538202,13.740779841,14.2714804932,13.7753776446,12.4747280415,16.603233711892,18.3974091573952,17.3326521039261,17.8592784325232,17.0235484797314,14.4403216347502,20.8667854525406,24.913297892703,16.4203921842505,16.8283190080711,17.9112132968149,17.309727323168,15.0222331976806,16.5422548721866,15.1787004764737,15.3794185783745,15.372894346962,15.194152837033,14.6075145512735,13.506311650744,12.5121990014661,13.8969511226085,13.6855996531839,13.3631989934119,13.30906840656,13.54996009887,12.22991836952,12.76328165028,14.26970435605,15.35412385521,16.22238772129,18.59485352159,18.0826171044,15.91749578146,17.20662170292,16.7727906973,13.1049861099,12.23340779374,11.24982342311,9.4812933192,10.09441419184,14.6299695287,19.6324570806,23.21233476342,27.22445700104,28.76543579835,33.65064464959,33.96190749029,27.8501166382,31.3048516246,28.39321984933,21.58890055256,24.0795932028,27.29776923692,27.37275830028,26.83158758476,29.21308258275,22.9957750719,25.28441241928,24.77082957184,25.56862787785,29.36878716762,33.94783549252,33.90736369355,36.4566406568271,40.9599793655547,50.5459728543741,47.8728194864906,51.4534647985044,55.3819638375011,54.7518446357092,46.1685082885,44.0549266636414,50.8915749726244,54.3885011390659,61.28283582,64.564871032,77.86909156944,76.8400911978814,41.7554337923642,34.27429843821,43.23850980556,47.69971216128,50.48732034603,55.2764672691987,62.0003475445496,59.9280646732927,64.192124227755,76.9784345307512,81.469369723521,79.564016460016,80.9951434101372,90.2656815063402,85.3376938027818,87.2645124525037,84.9519445415703,85.3156335652591,79.025375967168,82.8589025359437,80.303498850014,78.8716419788608,80.0065863113848,78.3900128470627,62.4339941956726,48.963362946633,55.8690941251969,45.3444576867268,39.8001243519069,30.7244225918298,40.3534832566588,41.7537858838661,47.3746833088422
