ARCH;;;;;;;;
;IPC_brut_Insee;IPCSJ_insee;IPC;IPCSJ;COEFPOIDSIPCSJ;COEFPOIDSIPCVOL;TICPE_PAR_BARIL;blabla
Comment;projbe2_ipc = extrapsd(projbe2_ipc.1+0.003-0.00013.0.2017Q1.2017Q4);projbe2_ipcsj = extrapsd(projbe2_ipcsj.1+0.0034.0.2017Q2.2017Q4);projbe2_ipc = extrapsd(projbe2_ipc.1+0.003-0.00013.0.2017Q1.2017Q4);projbe2_ipcsj = extrapsd(projbe2_ipcsj.1+0.0034.0.2017Q2.2017Q4);COEFPOIDSIPCSJ;COEFPOIDSIPCVOL;TICPE_PAR_BARIL;blabla
Org.;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS
Type;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
1998Q4;78.1533333333333;81.5333333333333;78.2018442594485;81.5023796936581;6225.7;3774.3;73.0634361239717;0
1999Q1;78.2166666666667;81.5666666666667;78.2884811229224;81.6254088409887;6203;3797;74.7903179777398;0
1999Q2;78.6933333333333;81.7666666666667;78.4550523593541;81.7411591106628;6203;3797;74.8807816405804;0
1999Q3;78.61;81.8666666666667;78.6549378430722;81.8665901554696;6203;3797;74.8807816405804;0
1999Q4;78.9266666666667;82.1;78.9547660686494;82.0575832835954;6203;3797;74.8789689223018;0
2000Q1;79.36;82.2666666666667;79.4973910187479;82.1834784792458;6217;3783;72.4083599221973;0
2000Q2;79.8133333333333;82.7;79.5307092882445;82.3109773675263;6217;3783;72.4558764965018;0
2000Q3;80.1066666666667;82.8666666666667;80.0638016001891;82.4146970736798;6217;3783;72.37435439472;0
2000Q4;80.4366666666667;83.2;80.5302573731407;82.7331719375889;6217;3783;67.791281516957;0
2001Q1;80.3966666666667;83.4666666666667;80.4789815568487;82.9049356946529;6135;3865;66.2342348972443;0
2001Q2;81.45;83.8333333333333;81.1787987877778;83.4002347945495;6135;3865;67.6404377891031;0
