ARCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CICE_D39;OUV_OCDE;EMPLOI_ESTEL;PE;SMB;TXENT;spd_ent;SFP;TEMPVS1;IMMAT;PIMMOP;PIMMO;PART_EMERGENTS_CPB;Dummy2009q1plus;Dummy2011q1;TENDP1MI;Dummy2000q2plus;BALneg;BALpos;JUPneg;JUPpos;FILneg;indic1999q3;indiccrise;Dummy1998q1plus;trendavant1998;Dummy2009q2;Trend1990Q2;Trend2000Q4;Trend2001Q1;Trend2011Q3;Rupt2008Q4;TENDP2BMNA5
Comment;CICE_D39;OUV_OCDE;EMPLOI_ESTEL;Effets des politique de l'emploi;SMB;TXENT;spd_ent;SFP;TEMPVS1;IMMAT;PIMMOP;PIMMO;PART_EMERGENTS_CPB;Dummy2009q1plus;Dummy2011q1;TENDP1MI;Dummy2000q2plus;BALneg;BALpos;JUPneg;JUPpos;FILneg;indic1999q3;indiccrise;Dummy1998q1plus;trendavant1998;Dummy2009q2;Trend1990Q2;Trend2000Q4;Trend2001Q1;Trend2011Q3;Rupt2008Q4;TENDP2BMNA5
Org.;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS
Type;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
1983Q1;0;0.109072821527283;13746.0556120402;73.149484646794;100;13.454693877551;0.954693877551021;2.45734245022026;0;446847;18.5553557654193;25.7246991094721;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1983Q2;0;0.109445950122591;13713.4668643282;72.9760639821538;100;13.4;0.983333333333301;-3.60379790895416;0;446847;18.7903215612433;26.1431915823977;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1983Q3;0;0.110820584831241;13689.8121035278;72.8501854311844;100;13.4;1.15;-3.63892285842422;0;446847;19.0381229537387;26.4882990274911;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1983Q4;0;0.112462731571479;13640.4721303563;72.5876233034114;100;13.4;1.3166666666667;-3.68374177654823;0;446847;19.2987598969258;26.7600214447521;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1984Q1;0;0.114116574700675;13573.9748414111;72.2337587073386;100;13.4;1.4;-3.54822327877614;0;446847;19.5722323908046;26.9583588857085;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1984Q2;0;0.115503920342309;13500.0664042324;71.8404557669708;100;13.4;5.9;-0.904971320992591;0;446847;19.9230825778308;27.1781918189346;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1984Q3;0;0.116526932583061;13460.675643758;71.6308382657857;100;13.47;4.97;-4.46195067044502;0;446847;20.3513105039841;27.4195203474856;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1984Q4;0;0.116966900778701;13407.883902916;71.3499075940944;100;12.99;3.49;-6.41771046557414;0;446847;20.8569161232847;27.6823444713614;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1985Q1;0;0.116964347265399;13386.8687291578;72.679903572932;100;13.14;2.64;-3.33386993201328;0;446847;21.4398994817124;27.9666640875069;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1985Q2;0;0.116800364726899;13377.3256067748;73.4402906022693;101.3;12.51;2.34;-2.00722185323266;0;457150;22.0282268749115;28.2297883078601;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
